iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,k,lambda
0,1234,362,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-92882.0,11208.0,5288.0,80290.0,98170.0,82,100,10,10,5604,2644,1,1.0E-4
0,1234,213,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-91950.0,11208.0,5280.0,80290.0,97230.0,82,99,10,10,5604,2640,1,0.01
0,1234,7,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-69082.0,-85324.0,11208.0,8656.0,80290.0,93980.0,82,96,10,10,5604,4328,1,1.0
0,1234,203,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-90726.0,11208.0,5484.0,80290.0,96210.0,82,98,10,10,5604,2742,5,1.0E-4
0,1234,178,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-91944.0,11208.0,5336.0,80290.0,97280.0,82,99,10,10,5604,2668,5,0.01
0,1234,19,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-69082.0,-87812.0,11208.0,9248.0,80290.0,97060.0,82,99,10,10,5604,4624,5,1.0
0,1234,195,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-91728.0,11208.0,5492.0,80290.0,97220.0,82,99,10,10,5604,2746,25,1.0E-4
0,1234,179,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-92032.0,11208.0,5148.0,80290.0,97180.0,82,99,10,10,5604,2574,25,0.01
0,1234,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-69082.0,-89222.0,11208.0,8668.0,80290.0,97890.0,82,100,10,10,5604,4334,25,1.0
0,1234,279,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-91804.0,11208.0,6396.0,80290.0,98200.0,82,100,10,10,5604,3198,125,1.0E-4
0,1234,181,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-91864.0,11208.0,5396.0,80290.0,97260.0,82,99,10,10,5604,2698,125,0.01
0,1234,11,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-69082.0,-85516.0,11208.0,8464.0,80290.0,93980.0,82,96,10,10,5604,4232,125,1.0
1,1,245,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92586.0,11252.0,5044.0,80510.0,97630.0,82,99,10,10,5626,2522,1,1.0E-4
1,1,219,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92558.0,11252.0,5052.0,80510.0,97610.0,82,99,10,10,5626,2526,1,0.01
1,1,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-69258.0,-90538.0,11252.0,7872.0,80510.0,98410.0,82,100,10,10,5626,3936,1,1.0
1,1,179,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92720.0,11252.0,4840.0,80510.0,97560.0,82,99,10,10,5626,2420,5,1.0E-4
1,1,174,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92716.0,11252.0,4924.0,80510.0,97640.0,82,99,10,10,5626,2462,5,0.01
1,1,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-69258.0,-88640.0,11252.0,7660.0,80510.0,96300.0,82,98,10,10,5626,3830,5,1.0
1,1,181,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-91568.0,11252.0,4872.0,80510.0,96440.0,82,98,10,10,5626,2436,25,1.0E-4
