iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,k,lambda
0,1234,388,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-67972.0,-90812.0,11208.0,5368.0,80290.0,96960.0,82,99,10,10,5604,2684,1,1.0E-4
0,1234,265,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-67972.0,-91856.0,11208.0,5324.0,80290.0,98000.0,82,100,10,10,5604,2662,1,0.01
0,1234,10,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-67972.0,-87836.0,11208.0,8344.0,80290.0,96920.0,82,99,10,10,5604,4172,1,1.0
0,1234,230,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-67972.0,-92056.0,11208.0,5124.0,80290.0,98050.0,82,100,10,10,5604,2562,5,1.0E-4
0,1234,209,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-67972.0,-91068.0,11208.0,5112.0,80290.0,96910.0,82,99,10,10,5604,2556,5,0.01
0,1234,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-67972.0,-86516.0,11208.0,8664.0,80290.0,95920.0,82,98,10,10,5604,4332,5,1.0
0,1234,231,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-67972.0,-89932.0,11208.0,5248.0,80290.0,95860.0,82,98,10,10,5604,2624,25,1.0E-4
0,1234,204,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-67972.0,-91900.0,11208.0,5280.0,80290.0,98000.0,82,100,10,10,5604,2640,25,0.01
0,1234,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-67972.0,-87104.0,11208.0,8076.0,80290.0,95970.0,82,98,10,10,5604,4038,25,1.0
0,1234,268,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-67972.0,-89660.0,11208.0,6520.0,80290.0,96980.0,82,99,10,10,5604,3260,125,1.0E-4
0,1234,278,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-67972.0,-90996.0,11208.0,5184.0,80290.0,96930.0,82,99,10,10,5604,2592,125,0.01
0,1234,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-67972.0,-84268.0,11208.0,8912.0,80290.0,94060.0,82,96,10,10,5604,4456,125,1.0
1,1,209,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-68408.0,-90848.0,11252.0,4812.0,80510.0,96210.0,82,98,10,10,5626,2406,1,1.0E-4
1,1,211,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-68408.0,-92804.0,11252.0,4856.0,80510.0,98230.0,82,100,10,10,5626,2428,1,0.01
1,1,13,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-68408.0,-88880.0,11252.0,7780.0,80510.0,97250.0,82,99,10,10,5626,3890,1,1.0
1,1,210,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-68408.0,-91948.0,11252.0,4712.0,80510.0,97320.0,82,99,10,10,5626,2356,5,1.0E-4
1,1,210,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-68408.0,-92836.0,11252.0,4824.0,80510.0,98250.0,82,100,10,10,5626,2412,5,0.01
1,1,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-68408.0,-88392.0,11252.0,8268.0,80510.0,97150.0,82,99,10,10,5626,4134,5,1.0
1,1,214,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-68408.0,-92648.0,11252.0,5012.0,80510.0,98220.0,82,100,10,10,5626,2506,25,1.0E-4
1,1,212,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-68408.0,-92940.0,11252.0,4720.0,80510.0,98180.0,82,100,10,10,5626,2360,25,0.01
1,1,10,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-68408.0,-89328.0,11252.0,8332.0,80510.0,98220.0,82,100,10,10,5626,4166,25,1.0
1,1,259,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-68408.0,-91260.0,11252.0,5400.0,80510.0,97170.0,82,99,10,10,5626,2700,125,1.0E-4
1,1,216,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-68408.0,-90956.0,11252.0,4704.0,80510.0,96320.0,82,98,10,10,5626,2352,125,0.01
1,1,10,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-68408.0,-88156.0,11252.0,7504.0,80510.0,96230.0,82,98,10,10,5626,3752,125,1.0
2,91011,236,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-70918.0,-91610.0,11592.0,5900.0,83390.0,98060.0,85,100,10,10,5796,2950,1,1.0E-4
2,91011,226,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-70918.0,-89750.0,11592.0,5760.0,83390.0,96110.0,85,98,10,10,5796,2880,1,0.01
2,91011,11,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-70918.0,-86466.0,11592.0,9044.0,83390.0,96160.0,85,98,10,10,5796,4522,1,1.0
2,91011,220,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-70918.0,-90018.0,11592.0,5492.0,83390.0,96080.0,85,98,10,10,5796,2746,5,1.0E-4
2,91011,223,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-70918.0,-90650.0,11592.0,5860.0,83390.0,96970.0,85,99,10,10,5796,2930,5,0.01
2,91011,12,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-70918.0,-87666.0,11592.0,8844.0,83390.0,97200.0,85,99,10,10,5796,4422,5,1.0
2,91011,228,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-70918.0,-89862.0,11592.0,5648.0,83390.0,96140.0,85,98,10,10,5796,2824,25,1.0E-4
2,91011,224,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-70918.0,-90502.0,11592.0,6008.0,83390.0,97030.0,85,99,10,10,5796,3004,25,0.01
2,91011,11,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-70918.0,-87738.0,11592.0,8772.0,83390.0,97070.0,85,99,10,10,5796,4386,25,1.0
2,91011,277,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-70918.0,-90882.0,11592.0,6628.0,83390.0,98170.0,85,100,10,10,5796,3314,125,1.0E-4
2,91011,226,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-70918.0,-91562.0,11592.0,5948.0,83390.0,98080.0,85,100,10,10,5796,2974,125,0.01
2,91011,10,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-70918.0,-85502.0,11592.0,9008.0,83390.0,95210.0,85,97,10,10,5796,4504,125,1.0
3,121314,187,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71296.0,-91496.0,10364.0,5164.0,82430.0,97080.0,84,99,10,10,5182,2582,1,1.0E-4
3,121314,185,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71296.0,-92564.0,10364.0,5096.0,82430.0,98020.0,84,100,10,10,5182,2548,1,0.01
3,121314,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-71296.0,-87968.0,10364.0,8692.0,82430.0,97070.0,84,99,10,10,5182,4346,1,1.0
3,121314,182,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71296.0,-91732.0,10364.0,4928.0,82430.0,97060.0,84,99,10,10,5182,2464,5,1.0E-4
3,121314,182,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71296.0,-90688.0,10364.0,4972.0,82430.0,96130.0,84,98,10,10,5182,2486,5,0.01
3,121314,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-71296.0,-88596.0,10364.0,8064.0,82430.0,97180.0,84,99,10,10,5182,4032,5,1.0
3,121314,187,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71296.0,-90512.0,10364.0,5148.0,82430.0,96160.0,84,98,10,10,5182,2574,25,1.0E-4
3,121314,188,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71296.0,-92392.0,10364.0,5268.0,82430.0,98130.0,84,100,10,10,5182,2634,25,0.01
3,121314,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-71296.0,-87592.0,10364.0,8068.0,82430.0,96170.0,84,98,10,10,5182,4034,25,1.0
3,121314,250,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71296.0,-90556.0,10364.0,6104.0,82430.0,97050.0,84,99,10,10,5182,3052,125,1.0E-4
3,121314,186,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71296.0,-91616.0,10364.0,5044.0,82430.0,97070.0,84,99,10,10,5182,2522,125,0.01
3,121314,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-71296.0,-86104.0,10364.0,8556.0,82430.0,95180.0,84,97,10,10,5182,4278,125,1.0
4,151617,187,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73768.0,-92548.0,9792.0,5012.0,84070.0,97830.0,86,100,10,10,4896,2506,1,1.0E-4
4,151617,193,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73768.0,-89580.0,9792.0,4980.0,84070.0,94940.0,86,97,10,10,4896,2490,1,0.01
4,151617,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-73768.0,-89680.0,9792.0,7880.0,84070.0,97830.0,86,100,10,10,4896,3940,1,1.0
4,151617,187,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73768.0,-92428.0,9792.0,5132.0,84070.0,97870.0,86,100,10,10,4896,2566,5,1.0E-4
4,151617,187,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73768.0,-92688.0,9792.0,4872.0,84070.0,97970.0,86,100,10,10,4896,2436,5,0.01
4,151617,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-73768.0,-86016.0,9792.0,7544.0,84070.0,94040.0,86,96,10,10,4896,3772,5,1.0
4,151617,192,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73768.0,-88796.0,9792.0,4764.0,84070.0,93970.0,86,96,10,10,4896,2382,25,1.0E-4
4,151617,193,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73768.0,-92424.0,9792.0,5136.0,84070.0,97850.0,86,100,10,10,4896,2568,25,0.01
4,151617,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-73768.0,-87356.0,9792.0,8204.0,84070.0,95910.0,86,98,10,10,4896,4102,25,1.0
4,151617,249,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73768.0,-91472.0,9792.0,6088.0,84070.0,97870.0,86,100,10,10,4896,3044,125,1.0E-4
4,151617,205,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73768.0,-92488.0,9792.0,5072.0,84070.0,97970.0,86,100,10,10,4896,2536,125,0.01
4,151617,10,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-73768.0,-83976.0,9792.0,8584.0,84070.0,92850.0,86,95,10,10,4896,4292,125,1.0
5,181920,199,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-66242.0,-89934.0,11048.0,6356.0,78100.0,96550.0,80,99,10,10,5524,3178,1,1.0E-4
5,181920,201,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-66242.0,-88954.0,11048.0,6336.0,78100.0,95810.0,80,98,10,10,5524,3168,1,0.01
5,181920,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-66242.0,-86778.0,11048.0,9512.0,78100.0,96630.0,80,99,10,10,5524,4756,1,1.0
5,181920,202,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-66242.0,-90002.0,11048.0,6288.0,78100.0,96700.0,80,99,10,10,5524,3144,5,1.0E-4
5,181920,206,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-66242.0,-90658.0,11048.0,6632.0,78100.0,97750.0,80,100,10,10,5524,3316,5,0.01
5,181920,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-66242.0,-85746.0,11048.0,9544.0,78100.0,95610.0,80,98,10,10,5524,4772,5,1.0
5,181920,203,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-66242.0,-89754.0,11048.0,6536.0,78100.0,96640.0,80,99,10,10,5524,3268,25,1.0E-4
5,181920,202,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-66242.0,-90722.0,11048.0,6568.0,78100.0,97660.0,80,100,10,10,5524,3284,25,0.01
5,181920,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-66242.0,-83978.0,11048.0,9312.0,78100.0,93690.0,80,96,10,10,5524,4656,25,1.0
5,181920,266,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-66242.0,-89894.0,11048.0,7396.0,78100.0,97600.0,80,100,10,10,5524,3698,125,1.0E-4
5,181920,202,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-66242.0,-87906.0,11048.0,6384.0,78100.0,94730.0,80,97,10,10,5524,3192,125,0.01
5,181920,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-66242.0,-82442.0,11048.0,8848.0,78100.0,91750.0,80,94,10,10,5524,4424,125,1.0
6,2134565223,185,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73950.0,-91602.0,10640.0,4988.0,85280.0,96940.0,87,99,10,10,5320,2494,1,1.0E-4
6,2134565223,188,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73950.0,-92454.0,10640.0,5136.0,85280.0,97920.0,87,100,10,10,5320,2568,1,0.01
6,2134565223,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-73950.0,-89038.0,10640.0,8552.0,85280.0,97930.0,87,100,10,10,5320,4276,1,1.0
6,2134565223,185,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73950.0,-91726.0,10640.0,4864.0,85280.0,97100.0,87,99,10,10,5320,2432,5,1.0E-4
6,2134565223,187,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73950.0,-91294.0,10640.0,5296.0,85280.0,97010.0,87,99,10,10,5320,2648,5,0.01
6,2134565223,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-73950.0,-88434.0,10640.0,8156.0,85280.0,96910.0,87,99,10,10,5320,4078,5,1.0
6,2134565223,185,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73950.0,-90530.0,10640.0,5060.0,85280.0,96030.0,87,98,10,10,5320,2530,25,1.0E-4
6,2134565223,185,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73950.0,-91578.0,10640.0,5012.0,85280.0,97020.0,87,99,10,10,5320,2506,25,0.01
6,2134565223,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-73950.0,-87442.0,10640.0,9148.0,85280.0,96960.0,87,99,10,10,5320,4574,25,1.0
6,2134565223,229,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73950.0,-91190.0,10640.0,6400.0,85280.0,98000.0,87,100,10,10,5320,3200,125,1.0E-4
6,2134565223,184,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-73950.0,-91426.0,10640.0,5164.0,85280.0,97000.0,87,99,10,10,5320,2582,125,0.01
6,2134565223,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-73950.0,-85458.0,10640.0,8132.0,85280.0,94100.0,87,96,10,10,5320,4066,125,1.0
7,242526,205,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71848.0,-91076.0,10752.0,5524.0,83260.0,97030.0,85,99,10,10,5376,2762,1,1.0E-4
7,242526,202,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71848.0,-91264.0,10752.0,5336.0,83260.0,97070.0,85,99,10,10,5376,2668,1,0.01
7,242526,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-71848.0,-88436.0,10752.0,9164.0,83260.0,97980.0,85,100,10,10,5376,4582,1,1.0
7,242526,202,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71848.0,-90264.0,10752.0,5336.0,83260.0,96070.0,85,98,10,10,5376,2668,5,1.0E-4
7,242526,200,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71848.0,-90388.0,10752.0,5212.0,83260.0,96030.0,85,98,10,10,5376,2606,5,0.01
7,242526,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Avanzada,-71848.0,-88936.0,10752.0,8664.0,83260.0,98030.0,85,100,10,10,5376,4332,5,1.0
7,242526,202,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Avanzada,-71848.0,-91196.0,10752.0,5404.0,83260.0,97020.0,85,99,10,10,5376,2702,25,1.0E-4
