iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,k,lambda
0,1234,359,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-92618.0,11208.0,5472.0,80290.0,98090.0,82,100,10,10,5604,2736,5,1.0E-4
0,1234,209,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-90932.0,11208.0,5268.0,80290.0,96200.0,82,98,10,10,5604,2634,5,0.001
0,1234,216,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-90914.0,11208.0,5396.0,80290.0,96310.0,82,98,10,10,5604,2698,5,0.01
0,1234,66,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-69082.0,-91174.0,11208.0,5956.0,80290.0,97130.0,82,99,10,10,5604,2978,5,0.1
0,1234,183,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-91662.0,11208.0,5548.0,80290.0,97210.0,82,99,10,10,5604,2774,10,1.0E-4
0,1234,200,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-90844.0,11208.0,5336.0,80290.0,96180.0,82,98,10,10,5604,2668,10,0.001
0,1234,179,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-92800.0,11208.0,5400.0,80290.0,98200.0,82,100,10,10,5604,2700,10,0.01
0,1234,68,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-69082.0,-90984.0,11208.0,6136.0,80290.0,97120.0,82,99,10,10,5604,3068,10,0.1
0,1234,174,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-92674.0,11208.0,5576.0,80290.0,98250.0,82,100,10,10,5604,2788,20,1.0E-4
0,1234,171,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-91236.0,11208.0,5164.0,80290.0,96400.0,82,98,10,10,5604,2582,20,0.001
0,1234,165,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-91380.0,11208.0,5700.0,80290.0,97080.0,82,99,10,10,5604,2850,20,0.01
0,1234,64,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-69082.0,-90592.0,11208.0,5648.0,80290.0,96240.0,82,98,10,10,5604,2824,20,0.1
0,1234,173,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-92646.0,11208.0,5584.0,80290.0,98230.0,82,100,10,10,5604,2792,25,1.0E-4
0,1234,175,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-90932.0,11208.0,5228.0,80290.0,96160.0,82,98,10,10,5604,2614,25,0.001
0,1234,172,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69082.0,-92878.0,11208.0,5372.0,80290.0,98250.0,82,100,10,10,5604,2686,25,0.01
0,1234,66,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-69082.0,-91418.0,11208.0,5672.0,80290.0,97090.0,82,99,10,10,5604,2836,25,0.1
1,1,173,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92594.0,11252.0,4936.0,80510.0,97530.0,82,99,10,10,5626,2468,5,1.0E-4
1,1,175,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-91684.0,11252.0,4956.0,80510.0,96640.0,82,98,10,10,5626,2478,5,0.001
1,1,170,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-93644.0,11252.0,4896.0,80510.0,98540.0,82,100,10,10,5626,2448,5,0.01
1,1,67,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-69258.0,-92850.0,11252.0,5500.0,80510.0,98350.0,82,100,10,10,5626,2750,5,0.1
1,1,172,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92812.0,11252.0,4668.0,80510.0,97480.0,82,99,10,10,5626,2334,10,1.0E-4
1,1,191,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-93520.0,11252.0,5040.0,80510.0,98560.0,82,100,10,10,5626,2520,10,0.001
1,1,173,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92548.0,11252.0,4972.0,80510.0,97520.0,82,99,10,10,5626,2486,10,0.01
1,1,66,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-69258.0,-91632.0,11252.0,5788.0,80510.0,97420.0,82,99,10,10,5626,2894,10,0.1
1,1,172,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-91682.0,11252.0,4928.0,80510.0,96610.0,82,98,10,10,5626,2464,20,1.0E-4
1,1,174,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92688.0,11252.0,4832.0,80510.0,97520.0,82,99,10,10,5626,2416,20,0.001
1,1,172,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-93526.0,11252.0,5024.0,80510.0,98550.0,82,100,10,10,5626,2512,20,0.01
1,1,69,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-69258.0,-91750.0,11252.0,5720.0,80510.0,97470.0,82,99,10,10,5626,2860,20,0.1
1,1,174,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92588.0,11252.0,4952.0,80510.0,97540.0,82,99,10,10,5626,2476,25,1.0E-4
1,1,185,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92514.0,11252.0,4916.0,80510.0,97430.0,82,99,10,10,5626,2458,25,0.001
1,1,169,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92674.0,11252.0,4936.0,80510.0,97610.0,82,99,10,10,5626,2468,25,0.01
1,1,66,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-69258.0,-92892.0,11252.0,5528.0,80510.0,98420.0,82,100,10,10,5626,2764,25,0.1
2,91011,182,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-90568.0,11592.0,5892.0,83390.0,96460.0,85,98,10,10,5796,2946,5,1.0E-4
2,91011,198,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-92212.0,11592.0,6208.0,83390.0,98420.0,85,100,10,10,5796,3104,5,0.001
2,91011,186,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-90306.0,11592.0,6064.0,83390.0,96370.0,85,98,10,10,5796,3032,5,0.01
2,91011,71,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-71798.0,-90756.0,11592.0,6464.0,83390.0,97220.0,85,99,10,10,5796,3232,5,0.1
2,91011,185,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-91498.0,11592.0,5972.0,83390.0,97470.0,85,99,10,10,5796,2986,10,1.0E-4
2,91011,189,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-92202.0,11592.0,6048.0,83390.0,98250.0,85,100,10,10,5796,3024,10,0.001
2,91011,190,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-91414.0,11592.0,6076.0,83390.0,97490.0,85,99,10,10,5796,3038,10,0.01
2,91011,72,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-71798.0,-91562.0,11592.0,6688.0,83390.0,98250.0,85,100,10,10,5796,3344,10,0.1
2,91011,184,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-90512.0,11592.0,5888.0,83390.0,96400.0,85,98,10,10,5796,2944,20,1.0E-4
2,91011,184,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-90246.0,11592.0,6044.0,83390.0,96290.0,85,98,10,10,5796,3022,20,0.001
2,91011,183,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-92432.0,11592.0,5788.0,83390.0,98220.0,85,100,10,10,5796,2894,20,0.01
2,91011,72,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-71798.0,-91646.0,11592.0,6564.0,83390.0,98210.0,85,100,10,10,5796,3282,20,0.1
2,91011,195,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-90304.0,11592.0,6096.0,83390.0,96400.0,85,98,10,10,5796,3048,25,1.0E-4
2,91011,183,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-91208.0,11592.0,6092.0,83390.0,97300.0,85,99,10,10,5796,3046,25,0.001
2,91011,187,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-92352.0,11592.0,6088.0,83390.0,98440.0,85,100,10,10,5796,3044,25,0.01
2,91011,73,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-71798.0,-91466.0,11592.0,6844.0,83390.0,98310.0,85,100,10,10,5796,3422,25,0.1
3,121314,164,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-92304.0,10364.0,5036.0,82430.0,97340.0,84,99,10,10,5182,2518,5,1.0E-4
3,121314,167,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-91934.0,10364.0,5296.0,82430.0,97230.0,84,99,10,10,5182,2648,5,0.001
3,121314,164,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-91856.0,10364.0,5464.0,82430.0,97320.0,84,99,10,10,5182,2732,5,0.01
3,121314,61,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-72066.0,-89832.0,10364.0,5288.0,82430.0,95120.0,84,97,10,10,5182,2644,5,0.1
3,121314,169,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-92886.0,10364.0,5364.0,82430.0,98250.0,84,100,10,10,5182,2682,10,1.0E-4
3,121314,164,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-92172.0,10364.0,5128.0,82430.0,97300.0,84,99,10,10,5182,2564,10,0.001
3,121314,164,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-93088.0,10364.0,5192.0,82430.0,98280.0,84,100,10,10,5182,2596,10,0.01
3,121314,60,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-72066.0,-92444.0,10364.0,5656.0,82430.0,98100.0,84,100,10,10,5182,2828,10,0.1
3,121314,164,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-90220.0,10364.0,5100.0,82430.0,95320.0,84,97,10,10,5182,2550,20,1.0E-4
3,121314,163,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-92132.0,10364.0,5128.0,82430.0,97260.0,84,99,10,10,5182,2564,20,0.001
3,121314,166,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-92824.0,10364.0,5336.0,82430.0,98160.0,84,100,10,10,5182,2668,20,0.01
3,121314,62,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-72066.0,-91232.0,10364.0,5848.0,82430.0,97080.0,84,99,10,10,5182,2924,20,0.1
3,121314,167,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-91946.0,10364.0,5304.0,82430.0,97250.0,84,99,10,10,5182,2652,25,1.0E-4
3,121314,163,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-91082.0,10364.0,5208.0,82430.0,96290.0,84,98,10,10,5182,2604,25,0.001
3,121314,168,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-90116.0,10364.0,5204.0,82430.0,95320.0,84,97,10,10,5182,2602,25,0.01
3,121314,64,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-72066.0,-91486.0,10364.0,5704.0,82430.0,97190.0,84,99,10,10,5182,2852,25,0.1
4,151617,165,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-92210.0,9792.0,4900.0,84070.0,97110.0,86,99,10,10,4896,2450,5,1.0E-4
4,151617,179,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-92222.0,9792.0,4908.0,84070.0,97130.0,86,99,10,10,4896,2454,5,0.001
4,151617,166,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-91980.0,9792.0,5120.0,84070.0,97100.0,86,99,10,10,4896,2560,5,0.01
4,151617,68,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-74278.0,-91338.0,9792.0,5812.0,84070.0,97150.0,86,99,10,10,4896,2906,5,0.1
4,151617,169,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-92076.0,9792.0,5224.0,84070.0,97300.0,86,99,10,10,4896,2612,10,1.0E-4
4,151617,164,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-91312.0,9792.0,4908.0,84070.0,96220.0,86,98,10,10,4896,2454,10,0.001
4,151617,167,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-93030.0,9792.0,5140.0,84070.0,98170.0,86,100,10,10,4896,2570,10,0.01
4,151617,63,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-74278.0,-90450.0,9792.0,5740.0,84070.0,96190.0,86,98,10,10,4896,2870,10,0.1
4,151617,170,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-92118.0,9792.0,5072.0,84070.0,97190.0,86,99,10,10,4896,2536,20,1.0E-4
4,151617,167,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-93118.0,9792.0,5172.0,84070.0,98290.0,86,100,10,10,4896,2586,20,0.001
4,151617,162,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-93252.0,9792.0,5008.0,84070.0,98260.0,86,100,10,10,4896,2504,20,0.01
4,151617,65,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-74278.0,-91450.0,9792.0,5680.0,84070.0,97130.0,86,99,10,10,4896,2840,20,0.1
4,151617,167,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-90132.0,9792.0,5068.0,84070.0,95200.0,86,97,10,10,4896,2534,25,1.0E-4
4,151617,167,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-93226.0,9792.0,5004.0,84070.0,98230.0,86,100,10,10,4896,2502,25,0.001
4,151617,167,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-91216.0,9792.0,4964.0,84070.0,96180.0,86,98,10,10,4896,2482,25,0.01
4,151617,67,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-74278.0,-91234.0,9792.0,6056.0,84070.0,97290.0,86,99,10,10,4896,3028,25,0.1
5,181920,179,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-90404.0,11048.0,6576.0,78100.0,96980.0,80,99,10,10,5524,3288,5,1.0E-4
5,181920,181,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-89576.0,11048.0,6504.0,78100.0,96080.0,80,98,10,10,5524,3252,5,0.001
5,181920,168,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-88820.0,11048.0,6300.0,78100.0,95120.0,80,97,10,10,5524,3150,5,0.01
5,181920,68,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-67052.0,-90804.0,11048.0,7116.0,78100.0,97920.0,80,100,10,10,5524,3558,5,0.1
5,181920,176,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-89544.0,11048.0,6436.0,78100.0,95980.0,80,98,10,10,5524,3218,10,1.0E-4
5,181920,172,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-90260.0,11048.0,6720.0,78100.0,96980.0,80,99,10,10,5524,3360,10,0.001
5,181920,171,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-90622.0,11048.0,6408.0,78100.0,97030.0,80,99,10,10,5524,3204,10,0.01
5,181920,71,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-67052.0,-90914.0,11048.0,7056.0,78100.0,97970.0,80,100,10,10,5524,3528,10,0.1
5,181920,184,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-91360.0,11048.0,6660.0,78100.0,98020.0,80,100,10,10,5524,3330,20,1.0E-4
5,181920,187,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-90474.0,11048.0,6576.0,78100.0,97050.0,80,99,10,10,5524,3288,20,0.001
5,181920,177,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-89602.0,11048.0,6528.0,78100.0,96130.0,80,98,10,10,5524,3264,20,0.01
5,181920,70,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-67052.0,-88858.0,11048.0,6992.0,78100.0,95850.0,80,98,10,10,5524,3496,20,0.1
5,181920,175,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-87656.0,11048.0,6364.0,78100.0,94020.0,80,96,10,10,5524,3182,25,1.0E-4
5,181920,179,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-90122.0,11048.0,6788.0,78100.0,96910.0,80,99,10,10,5524,3394,25,0.001
5,181920,172,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-88614.0,11048.0,6436.0,78100.0,95050.0,80,97,10,10,5524,3218,25,0.01
5,181920,69,GreedyCuadrantes,Simulated Annealing,true,true,true,false,7501,true,true,Basica,-67052.0,-90052.0,11048.0,6848.0,78100.0,96900.0,80,99,10,10,5524,3424,25,0.1
