algoritmo,seed,iteration,valid,hfAvanzadaValue,hfBasicaValue,peticionesAsignadas,peticionesTotales,camionesUsados,camionesTotales,totalKm,kmMedioCamion,beneficioDelDia,beneficio,coste,calidad,errorMessage
SIN_ASIGNACIONES,1234,0,true,-85964.0,-120360.0,0,126,0,10,0,0.0,0.0,120360.0,0.0,120360.0,
ALEATORIO_1PetXViaje,1234,0,true,-88648.0,-110504.0,48,126,10,10,5418,541.8,47020.0,121340.0,10836.0,110504.0,
ALEATORIO,1234,0,true,-97002.0,-109614.0,80,126,10,10,6288,628.8,78170.0,122190.0,12576.0,109614.0,
GREEDY_DISTANCIAS,1234,0,true,-95738.0,-110338.0,80,126,10,10,5836,583.6,78350.0,122010.0,11672.0,110338.0,
SIN_ASIGNACIONES,1,1,true,-88384.0,-123320.0,0,128,0,10,0,0.0,0.0,123320.0,0.0,123320.0,
ALEATORIO_1PetXViaje,1,1,true,-91662.0,-113122.0,49,128,10,10,5554,555.4,48090.0,124230.0,11108.0,113122.0,
ALEATORIO,1,1,true,-99252.0,-112244.0,81,128,10,10,6268,626.8,79540.0,124780.0,12536.0,112244.0,
GREEDY_DISTANCIAS,1,1,true,-100004.0,-112936.0,82,128,10,10,5892,589.2,80600.0,124720.0,11784.0,112936.0,
SIN_ASIGNACIONES,91011,2,true,-90728.0,-127020.0,0,132,0,10,0,0.0,0.0,127020.0,0.0,127020.0,
ALEATORIO_1PetXViaje,91011,2,true,-92780.0,-115920.0,48,132,10,10,6020,602.0,47060.0,127960.0,12040.0,115920.0,
ALEATORIO,91011,2,true,-98834.0,-115762.0,74,132,10,10,6314,631.4,72630.0,128390.0,12628.0,115762.0,
GREEDY_DISTANCIAS,91011,2,true,-98798.0,-116110.0,78,132,10,10,6240,624.0,76430.0,128590.0,12480.0,116110.0,
SIN_ASIGNACIONES,121314,3,true,-82580.0,-114320.0,0,119,0,10,0,0.0,0.0,114320.0,0.0,114320.0,
ALEATORIO_1PetXViaje,121314,3,true,-84596.0,-103000.0,48,119,10,10,6160,616.0,47000.0,115320.0,12320.0,103000.0,
ALEATORIO,121314,3,true,-90500.0,-103172.0,72,119,10,10,6244,624.4,70660.0,115660.0,12488.0,103172.0,
GREEDY_DISTANCIAS,121314,3,true,-90618.0,-103654.0,79,119,10,10,6108,610.8,77450.0,115870.0,12216.0,103654.0,
SIN_ASIGNACIONES,151617,4,true,-81168.0,-113120.0,0,118,0,10,0,0.0,0.0,113120.0,0.0,113120.0,
ALEATORIO_1PetXViaje,151617,4,true,-84726.0,-103310.0,48,118,10,10,5380,538.0,47050.0,114070.0,10760.0,103310.0,
ALEATORIO,151617,4,true,-91856.0,-102408.0,80,118,10,10,6206,620.6,78300.0,114820.0,12412.0,102408.0,
GREEDY_DISTANCIAS,151617,4,true,-91080.0,-102240.0,79,118,10,10,6180,618.0,77520.0,114600.0,12360.0,102240.0,
SIN_ASIGNACIONES,181920,5,true,-79304.0,-113580.0,0,119,0,10,0,0.0,0.0,113580.0,0.0,113580.0,
ALEATORIO_1PetXViaje,181920,5,true,-81994.0,-102566.0,47,119,10,10,6052,605.2,45910.0,114670.0,12104.0,102566.0,
ALEATORIO,181920,5,true,-90036.0,-102844.0,74,119,10,10,6268,626.8,72200.0,115380.0,12536.0,102844.0,
GREEDY_DISTANCIAS,181920,5,true,-91628.0,-103320.0,80,119,10,10,6080,608.0,78100.0,115480.0,12160.0,103320.0,
