iteration,seed,initial,algorithm,timeMs,initialHeur,finalHeur,assigned,nodesExpanded,profitIni,profitFi,costIni,costFi
1,1235,Ordenada,HillClimbing,11189,-48386.0,-54286.0,50,42,60430.0,60690.0,6204.0,3720.0
1,1235,Aleatoria,HillClimbing,12000,-47744.0,-54326.0,50,46,60500.0,60730.0,6340.0,3476.0
1,1235,GreedyDistancia,HillClimbing,12887,-47510.0,-54226.0,50,49,60550.0,60730.0,5676.0,3544.0
1,1235,GreedyQuadrants,HillClimbing,8736,-50370.0,-54226.0,50,34,60550.0,60710.0,5180.0,3688.0
1,1235,GreedyEjes,HillClimbing,8200,-49728.0,-54198.0,50,32,60420.0,60610.0,6032.0,3948.0
2,1236,Ordenada,HillClimbing,10193,-46676.0,-51480.0,50,42,58560.0,58760.0,6220.0,4952.0
2,1236,Aleatoria,HillClimbing,12918,-44876.0,-51560.0,50,53,58480.0,58800.0,6280.0,4948.0
2,1236,GreedyDistancia,HillClimbing,12197,-45252.0,-51418.0,50,50,58520.0,58790.0,5944.0,4832.0
2,1236,GreedyQuadrants,HillClimbing,9972,-48238.0,-51526.0,50,41,58650.0,58730.0,4912.0,5068.0
2,1236,GreedyEjes,HillClimbing,11957,-46426.0,-51636.0,50,49,58570.0,58760.0,5572.0,5032.0
3,1237,Ordenada,HillClimbing,12069,-54334.0,-59734.0,50,40,66070.0,66390.0,6260.0,3304.0
3,1237,Aleatoria,HillClimbing,15213,-53448.0,-59904.0,50,51,66020.0,66340.0,6288.0,3328.0
3,1237,GreedyDistancia,HillClimbing,14667,-53430.0,-59724.0,50,49,66070.0,66320.0,5572.0,3076.0
3,1237,GreedyQuadrants,HillClimbing,13240,-54648.0,-59770.0,50,44,66080.0,66250.0,5924.0,3636.0
3,1237,GreedyEjes,HillClimbing,13112,-55310.0,-59696.0,50,44,66090.0,66320.0,5308.0,3676.0
4,1238,Ordenada,HillClimbing,10835,-47046.0,-53690.0,50,42,59870.0,60290.0,6212.0,3484.0
4,1238,Aleatoria,HillClimbing,9498,-46490.0,-53486.0,50,37,59930.0,60330.0,6196.0,3892.0
4,1238,GreedyDistancia,HillClimbing,9023,-46416.0,-53662.0,50,35,60080.0,60350.0,6152.0,3452.0
4,1238,GreedyQuadrants,HillClimbing,10786,-47144.0,-53454.0,50,42,60000.0,60350.0,5948.0,3788.0
4,1238,GreedyEjes,HillClimbing,11021,-47120.0,-53698.0,50,43,59900.0,60290.0,5824.0,3696.0
5,1239,Ordenada,HillClimbing,11111,-48318.0,-55390.0,50,42,61390.0,61590.0,6252.0,2964.0
5,1239,Aleatoria,HillClimbing,10874,-48052.0,-55658.0,50,41,61320.0,61590.0,6232.0,2780.0
5,1239,GreedyDistancia,HillClimbing,8991,-48706.0,-55674.0,50,34,61430.0,61590.0,6308.0,2892.0
5,1239,GreedyQuadrants,HillClimbing,9483,-50374.0,-55442.0,50,36,61430.0,61550.0,5832.0,3156.0
5,1239,GreedyEjes,HillClimbing,13995,-47602.0,-55194.0,50,53,61310.0,61610.0,6016.0,3080.0
