iteration,seed,time_ms,algorithmEI,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,dailyProfitIni,dailyProfitFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi
0,1234,2863,Sin_Assignacion,true,true,true,true,73,true,true,Avanzada,-109920.0,-119088.0,12240.0,3432.0,78200.0,77840.0,122160.0,122520.0,80,80,10,10,6120,1716
0,1234,2442,Aleatorio,true,true,true,true,78,true,true,Avanzada,-109626.0,-119100.0,12564.0,3340.0,75170.0,75920.0,122190.0,122440.0,77,78,10,10,6282,1670
0,1234,2659,Aleatorio,true,true,true,true,74,true,true,Avanzada,-109676.0,-119434.0,12504.0,2896.0,71180.0,71030.0,122180.0,122330.0,73,73,10,9,6252,1448
0,1234,2266,Aleatorio,true,true,true,true,67,true,true,Avanzada,-109346.0,-119360.0,12544.0,2900.0,71470.0,71100.0,121890.0,122260.0,73,73,10,10,6272,1450
0,1234,2526,Aleatorio,true,true,true,true,76,true,true,Avanzada,-109464.0,-119202.0,12696.0,3228.0,75200.0,74930.0,122160.0,122430.0,77,77,10,10,6348,1614
0,1234,2581,Aleatorio,true,true,true,true,76,true,true,Avanzada,-109216.0,-119290.0,12664.0,3000.0,71480.0,73070.0,121880.0,122290.0,73,75,10,10,6332,1500
0,1234,2964,Aleatorio_1PxV,true,true,true,true,63,true,true,Avanzada,-109920.0,-119294.0,11440.0,2676.0,47000.0,57390.0,121360.0,121970.0,48,59,10,10,5720,1338
0,1234,2643,Aleatorio_1PxV,true,true,true,true,64,true,true,Avanzada,-109978.0,-119154.0,11512.0,2896.0,48870.0,59310.0,121490.0,122050.0,50,61,10,10,5756,1448
0,1234,2965,Aleatorio_1PxV,true,true,true,true,63,true,true,Avanzada,-109682.0,-119312.0,11688.0,2708.0,46990.0,57340.0,121370.0,122020.0,48,59,10,10,5844,1354
0,1234,2187,Aleatorio_1PxV,true,true,true,true,52,true,true,Avanzada,-110098.0,-119240.0,11352.0,2680.0,46910.0,53440.0,121450.0,121920.0,48,55,10,10,5676,1340
0,1234,2482,Aleatorio_1PxV,true,true,true,true,59,true,true,Avanzada,-110336.0,-119310.0,11044.0,2660.0,46980.0,57390.0,121380.0,121970.0,48,59,10,10,5522,1330
0,1234,2258,GreedyDistancia,true,true,true,true,63,true,true,Avanzada,-110338.0,-118896.0,11672.0,3324.0,78350.0,78140.0,122010.0,122220.0,80,80,10,10,5836,1662
1,1,2299,Sin_Assignacion,true,true,true,true,65,true,true,Basica,-112244.0,-121948.0,12496.0,3012.0,77580.0,78360.0,124740.0,124960.0,79,80,10,10,6248,1506
1,1,2933,Aleatorio,true,true,true,true,87,true,true,Basica,-112170.0,-121666.0,12720.0,3304.0,78430.0,79350.0,124890.0,124970.0,80,81,10,10,6360,1652
1,1,2915,Aleatorio,true,true,true,true,83,true,true,Basica,-112274.0,-121958.0,12476.0,3012.0,79570.0,79350.0,124750.0,124970.0,81,81,10,10,6238,1506
1,1,3013,Aleatorio,true,true,true,true,78,true,true,Basica,-112138.0,-121834.0,12652.0,3076.0,79530.0,79410.0,124790.0,124910.0,81,81,10,10,6326,1538
1,1,2422,Aleatorio,true,true,true,true,73,true,true,Basica,-112070.0,-121742.0,12620.0,3208.0,77630.0,77370.0,124690.0,124950.0,79,79,10,10,6310,1604
1,1,2432,Aleatorio,true,true,true,true,75,true,true,Basica,-112108.0,-122026.0,12672.0,2964.0,75540.0,76330.0,124780.0,124990.0,77,78,10,10,6336,1482
1,1,2354,Aleatorio_1PxV,true,true,true,true,57,true,true,Basica,-112778.0,-121886.0,11432.0,2704.0,49110.0,56730.0,124210.0,124590.0,50,58,10,10,5716,1352
1,1,2364,Aleatorio_1PxV,true,true,true,true,57,true,true,Basica,-112784.0,-121998.0,11416.0,2592.0,48120.0,56730.0,124200.0,124590.0,49,58,10,10,5708,1296
1,1,2620,Aleatorio_1PxV,true,true,true,true,60,true,true,Basica,-112132.0,-122162.0,12028.0,2388.0,45160.0,54770.0,124160.0,124550.0,46,56,10,10,6014,1194
1,1,2355,Aleatorio_1PxV,true,true,true,true,55,true,true,Basica,-112526.0,-121898.0,11704.0,2652.0,49090.0,55770.0,124230.0,124550.0,50,57,10,10,5852,1326
1,1,2449,Aleatorio_1PxV,true,true,true,true,59,true,true,Basica,-112896.0,-122066.0,11224.0,2544.0,47200.0,55710.0,124120.0,124610.0,48,57,10,10,5612,1272
1,1,2229,GreedyDistancia,true,true,true,true,66,true,true,Basica,-112936.0,-121780.0,11784.0,3140.0,80600.0,81400.0,124720.0,124920.0,82,83,10,10,5892,1570
2,91011,3005,Sin_Assignacion,true,true,true,true,83,true,true,Basica,-116328.0,-125276.0,12332.0,3544.0,76360.0,76200.0,128660.0,128820.0,78,78,10,10,6166,1772
2,91011,2951,Aleatorio,true,true,true,true,83,true,true,Basica,-116010.0,-125586.0,12600.0,3264.0,75410.0,76170.0,128610.0,128850.0,77,78,10,10,6300,1632
2,91011,2625,Aleatorio,true,true,true,true,73,true,true,Basica,-115564.0,-126056.0,12656.0,2684.0,68800.0,68280.0,128220.0,128740.0,70,70,10,10,6328,1342
2,91011,2848,Aleatorio,true,true,true,true,77,true,true,Basica,-115766.0,-125532.0,12644.0,3268.0,73610.0,73220.0,128410.0,128800.0,75,75,10,10,6322,1634
2,91011,2671,Aleatorio,true,true,true,true,73,true,true,Basica,-115884.0,-125460.0,12656.0,3280.0,76480.0,76280.0,128540.0,128740.0,78,78,10,10,6328,1640
2,91011,3109,Aleatorio,true,true,true,true,82,true,true,Basica,-116052.0,-125466.0,12468.0,3284.0,75500.0,75270.0,128520.0,128750.0,77,77,10,10,6234,1642
2,91011,2449,Aleatorio_1PxV,true,true,true,true,50,true,true,Basica,-117212.0,-125822.0,10748.0,2388.0,49060.0,50810.0,127960.0,128210.0,50,52,10,10,5374,1194
2,91011,2655,Aleatorio_1PxV,true,true,true,true,55,true,true,Basica,-116052.0,-126124.0,11808.0,2056.0,45160.0,48840.0,127860.0,128180.0,46,50,10,10,5904,1028
2,91011,2373,Aleatorio_1PxV,true,true,true,true,50,true,true,Basica,-116306.0,-126060.0,11644.0,2140.0,46070.0,49820.0,127950.0,128200.0,47,51,10,10,5822,1070
