iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,totalTrucks,totalGasStations
0,1234,2375,GreedyCuadrantes,HillClimbing,true,true,true,false,78,true,true,Basica,-69082.0,-92908.0,11208.0,5272.0,80290.0,98180.0,82,100,10,10,5604,2636,10,100
0,1234,274,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-69082.0,-91112.0,11208.0,5148.0,80290.0,96260.0,82,98,10,10,5604,2574,10,100
1,1,1558,GreedyCuadrantes,HillClimbing,true,true,true,false,69,true,true,Basica,-69258.0,-93340.0,11252.0,5140.0,80510.0,98480.0,82,100,10,10,5626,2570,10,100
1,1,197,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-69258.0,-92436.0,11252.0,5084.0,80510.0,97520.0,82,99,10,10,5626,2542,10,100
2,91011,2229,GreedyCuadrantes,HillClimbing,true,true,true,false,90,true,true,Basica,-71798.0,-92094.0,11592.0,6216.0,83390.0,98310.0,85,100,10,10,5796,3108,10,100
2,91011,199,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-71798.0,-90570.0,11592.0,5660.0,83390.0,96230.0,85,98,10,10,5796,2830,10,100
3,121314,1565,GreedyCuadrantes,HillClimbing,true,true,true,false,76,true,true,Basica,-72066.0,-93214.0,10364.0,4916.0,82430.0,98130.0,84,100,10,10,5182,2458,10,100
3,121314,170,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-72066.0,-92028.0,10364.0,5132.0,82430.0,97160.0,84,99,10,10,5182,2566,10,100
4,151617,1781,GreedyCuadrantes,HillClimbing,true,true,true,false,83,true,true,Basica,-74278.0,-93168.0,9792.0,4952.0,84070.0,98120.0,86,100,10,10,4896,2476,10,100
4,151617,175,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-74278.0,-92312.0,9792.0,4868.0,84070.0,97180.0,86,99,10,10,4896,2434,10,100
5,181920,1687,GreedyCuadrantes,HillClimbing,true,true,true,false,86,true,true,Basica,-67052.0,-91562.0,11048.0,6348.0,78100.0,97910.0,80,100,10,10,5524,3174,10,100
5,181920,181,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-67052.0,-90528.0,11048.0,6372.0,78100.0,96900.0,80,99,10,10,5524,3186,10,100
6,2134565223,1889,GreedyCuadrantes,HillClimbing,true,true,true,false,92,true,true,Basica,-74640.0,-93182.0,10640.0,5108.0,85280.0,98290.0,87,100,10,10,5320,2554,10,100
6,2134565223,169,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-74640.0,-92984.0,10640.0,5396.0,85280.0,98380.0,87,100,10,10,5320,2698,10,100
7,242526,2591,GreedyCuadrantes,HillClimbing,true,true,true,false,107,true,true,Basica,-72508.0,-92722.0,10752.0,5468.0,83260.0,98190.0,85,100,10,10,5376,2734,10,100
7,242526,217,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-72508.0,-89856.0,10752.0,5684.0,83260.0,95540.0,85,97,10,10,5376,2842,10,100
8,669610,2329,GreedyCuadrantes,HillClimbing,true,true,true,false,93,true,true,Basica,-69452.0,-93576.0,10628.0,4684.0,80080.0,98260.0,82,100,10,10,5314,2342,10,100
8,669610,178,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-69452.0,-93348.0,10628.0,4792.0,80080.0,98140.0,82,100,10,10,5314,2396,10,100
9,303132,2033,GreedyCuadrantes,HillClimbing,true,true,true,false,89,true,true,Basica,-71230.0,-92940.0,10020.0,5080.0,81250.0,98020.0,83,100,10,10,5010,2540,10,100
9,303132,167,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-71230.0,-92980.0,10020.0,5220.0,81250.0,98200.0,83,100,10,10,5010,2610,10,100
0,1234,70368,GreedyCuadrantes,HillClimbing,true,true,true,false,194,true,true,Basica,-146112.0,-189670.0,21368.0,6920.0,167480.0,196590.0,171,200,20,20,10684,3460,20,200
