iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,centrosDist,camionesPorCentros
0,1234,2372,GreedyCuadrantes,HillClimbing,true,true,true,false,78,true,true,Basica,-69082.0,-92908.0,11208.0,5272.0,80290.0,98180.0,82,100,10,10,5604,2636,10,1
1,1,1592,GreedyCuadrantes,HillClimbing,true,true,true,false,69,true,true,Basica,-69258.0,-93340.0,11252.0,5140.0,80510.0,98480.0,82,100,10,10,5626,2570,10,1
2,91011,2092,GreedyCuadrantes,HillClimbing,true,true,true,false,90,true,true,Basica,-71798.0,-92094.0,11592.0,6216.0,83390.0,98310.0,85,100,10,10,5796,3108,10,1
3,121314,1573,GreedyCuadrantes,HillClimbing,true,true,true,false,76,true,true,Basica,-72066.0,-93214.0,10364.0,4916.0,82430.0,98130.0,84,100,10,10,5182,2458,10,1
4,151617,1802,GreedyCuadrantes,HillClimbing,true,true,true,false,83,true,true,Basica,-74278.0,-93168.0,9792.0,4952.0,84070.0,98120.0,86,100,10,10,4896,2476,10,1
5,181920,1643,GreedyCuadrantes,HillClimbing,true,true,true,false,86,true,true,Basica,-67052.0,-91562.0,11048.0,6348.0,78100.0,97910.0,80,100,10,10,5524,3174,10,1
6,2134565223,1885,GreedyCuadrantes,HillClimbing,true,true,true,false,92,true,true,Basica,-74640.0,-93182.0,10640.0,5108.0,85280.0,98290.0,87,100,10,10,5320,2554,10,1
7,242526,2398,GreedyCuadrantes,HillClimbing,true,true,true,false,107,true,true,Basica,-72508.0,-92722.0,10752.0,5468.0,83260.0,98190.0,85,100,10,10,5376,2734,10,1
8,669610,2208,GreedyCuadrantes,HillClimbing,true,true,true,false,93,true,true,Basica,-69452.0,-93576.0,10628.0,4684.0,80080.0,98260.0,82,100,10,10,5314,2342,10,1
9,303132,2169,GreedyCuadrantes,HillClimbing,true,true,true,false,89,true,true,Basica,-71230.0,-92940.0,10020.0,5080.0,81250.0,98020.0,83,100,10,10,5010,2540,10,1
0,1234,1923,GreedyCuadrantes,HillClimbing,true,true,true,false,83,true,true,Basica,-68876.0,-91708.0,11384.0,6452.0,80260.0,98160.0,82,100,10,10,5692,3226,5,2
1,1,1487,GreedyCuadrantes,HillClimbing,true,true,true,false,66,true,true,Basica,-73946.0,-92086.0,12444.0,6284.0,86390.0,98370.0,88,100,10,10,6222,3142,5,2
2,91011,1594,GreedyCuadrantes,HillClimbing,true,true,true,false,68,true,true,Basica,-74626.0,-91226.0,10704.0,6944.0,85330.0,98170.0,87,100,10,10,5352,3472,5,2
3,121314,1286,GreedyCuadrantes,HillClimbing,true,true,true,false,63,true,true,Basica,-77464.0,-91506.0,9816.0,6724.0,87280.0,98230.0,89,100,10,10,4908,3362,5,2
4,151617,1676,GreedyCuadrantes,HillClimbing,true,true,true,false,71,true,true,Basica,-71150.0,-92012.0,11040.0,6108.0,82190.0,98120.0,84,100,10,10,5520,3054,5,2
5,181920,1466,GreedyCuadrantes,HillClimbing,true,true,true,false,75,true,true,Basica,-68222.0,-89954.0,11888.0,7936.0,80110.0,97890.0,82,100,10,10,5944,3968,5,2
6,2134565223,1721,GreedyCuadrantes,HillClimbing,true,true,true,false,87,true,true,Basica,-66242.0,-91266.0,11188.0,6924.0,77430.0,98190.0,79,100,10,10,5594,3462,5,2
7,242526,1868,GreedyCuadrantes,HillClimbing,true,true,true,false,92,true,true,Basica,-60486.0,-91526.0,12024.0,6924.0,72510.0,98450.0,74,100,10,10,6012,3462,5,2
8,669610,2165,GreedyCuadrantes,HillClimbing,true,true,true,false,88,true,true,Basica,-69150.0,-91492.0,11940.0,6668.0,81090.0,98160.0,83,100,10,10,5970,3334,5,2
9,303132,1889,GreedyCuadrantes,HillClimbing,true,true,true,false,80,true,true,Basica,-77506.0,-91812.0,10544.0,6348.0,88050.0,98160.0,90,100,10,10,5272,3174,5,2
