iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,costeKm,pet0DiaAtendidas,pet1DiaAtendidas,pet2DiaAtendidas,pet3DiaAtendidas
0,1234,2378,GreedyCuadrantes,HillClimbing,true,true,true,false,78,true,true,Basica,-69082.0,-92908.0,11208.0,5272.0,80290.0,98180.0,82,100,10,10,5604,2636,2.0,58,26,14,2
0,1234,2074,GreedyCuadrantes,HillClimbing,true,true,true,false,87,true,true,Basica,-57874.0,-87856.0,11208.0,5112.0,80290.0,98080.0,82,100,10,10,5604,2556,4.0,56,26,15,3
0,1234,2089,GreedyCuadrantes,HillClimbing,true,true,true,false,78,true,true,Basica,-35458.0,-75582.0,11208.0,4612.0,80290.0,94030.0,82,96,10,10,5604,2306,8.0,53,24,14,5
0,1234,1973,GreedyCuadrantes,HillClimbing,true,true,true,false,75,true,true,Basica,9374.0,-57780.0,11208.0,4400.0,80290.0,92980.0,82,95,10,10,5604,2200,16.0,50,24,16,5
0,1234,1763,GreedyCuadrantes,HillClimbing,true,true,true,false,66,true,true,Basica,99038.0,-23818.0,11208.0,3832.0,80290.0,85130.0,82,87,10,10,5604,1916,32.0,47,20,15,5
0,1234,2011,GreedyCuadrantes,HillClimbing,true,true,true,false,72,true,true,Basica,278366.0,32532.0,11208.0,3616.0,80290.0,83180.0,82,85,10,10,5604,1808,64.0,46,20,14,5
0,1234,2300,GreedyCuadrantes,HillClimbing,true,true,true,false,66,true,true,Basica,637022.0,148860.0,11208.0,3580.0,80290.0,80260.0,82,82,10,10,5604,1790,128.0,46,18,13,5
0,1234,1816,GreedyCuadrantes,HillClimbing,true,true,true,false,66,true,true,Basica,1399166.0,392300.0,11208.0,3580.0,80290.0,80260.0,82,82,10,10,5604,1790,264.0,46,18,13,5
1,1,1573,GreedyCuadrantes,HillClimbing,true,true,true,false,69,true,true,Basica,-69258.0,-93340.0,11252.0,5140.0,80510.0,98480.0,82,100,10,10,5626,2570,2.0,72,20,6,2
1,1,1722,GreedyCuadrantes,HillClimbing,true,true,true,false,75,true,true,Basica,-58006.0,-88288.0,11252.0,5056.0,80510.0,98400.0,82,100,10,10,5626,2528,4.0,72,18,7,3
1,1,2214,GreedyCuadrantes,HillClimbing,true,true,true,false,85,true,true,Basica,-35502.0,-78752.0,11252.0,4872.0,80510.0,98240.0,82,100,10,10,5626,2436,8.0,68,20,7,5
1,1,2607,GreedyCuadrantes,HillClimbing,true,true,true,false,79,true,true,Basica,9506.0,-58910.0,11252.0,4800.0,80510.0,97310.0,82,99,10,10,5626,2400,16.0,67,21,7,4
1,1,2330,GreedyCuadrantes,HillClimbing,true,true,true,false,80,true,true,Basica,99522.0,-21024.0,11252.0,4456.0,80510.0,92320.0,82,94,10,10,5626,2228,32.0,64,18,7,5
1,1,2384,GreedyCuadrantes,HillClimbing,true,true,true,false,73,true,true,Basica,279554.0,45342.0,11252.0,3996.0,80510.0,82530.0,82,84,10,10,5626,1998,64.0,57,17,6,4
1,1,2096,GreedyCuadrantes,HillClimbing,true,true,true,false,72,true,true,Basica,639618.0,173214.0,11252.0,3996.0,80510.0,82530.0,82,84,10,10,5626,1998,128.0,57,17,6,4
1,1,2005,GreedyCuadrantes,HillClimbing,true,true,true,false,71,true,true,Basica,1404754.0,445328.0,11252.0,3984.0,80510.0,80560.0,82,82,10,10,5626,1992,264.0,56,16,6,4
2,91011,2109,GreedyCuadrantes,HillClimbing,true,true,true,false,90,true,true,Basica,-71798.0,-92094.0,11592.0,6216.0,83390.0,98310.0,85,100,10,10,5796,3108,2.0,65,22,11,2
2,91011,2248,GreedyCuadrantes,HillClimbing,true,true,true,false,87,true,true,Basica,-60206.0,-85728.0,11592.0,6176.0,83390.0,98080.0,85,100,10,10,5796,3088,4.0,62,21,12,5
2,91011,2522,GreedyCuadrantes,HillClimbing,true,true,true,false,92,true,true,Basica,-37022.0,-73686.0,11592.0,6096.0,83390.0,98070.0,85,100,10,10,5796,3048,8.0,61,22,12,5
2,91011,2953,GreedyCuadrantes,HillClimbing,true,true,true,false,89,true,true,Basica,9346.0,-49434.0,11592.0,5832.0,83390.0,96090.0,85,98,10,10,5796,2916,16.0,59,22,12,5
2,91011,3019,GreedyCuadrantes,HillClimbing,true,true,true,false,89,true,true,Basica,102082.0,-11046.0,11592.0,4824.0,83390.0,88230.0,85,90,10,10,5796,2412,32.0,53,22,10,5
2,91011,3049,GreedyCuadrantes,HillClimbing,true,true,true,false,93,true,true,Basica,287554.0,58552.0,11592.0,4496.0,83390.0,85320.0,85,87,10,10,5796,2248,64.0,52,22,8,5
2,91011,3193,GreedyCuadrantes,HillClimbing,true,true,true,false,91,true,true,Basica,658498.0,202114.0,11592.0,4476.0,83390.0,84350.0,85,86,10,10,5796,2238,128.0,53,20,8,5
2,91011,3055,GreedyCuadrantes,HillClimbing,true,true,true,false,90,true,true,Basica,1446754.0,506416.0,11592.0,4468.0,83390.0,83360.0,85,85,10,10,5796,2234,264.0,52,20,8,5
3,121314,1752,GreedyCuadrantes,HillClimbing,true,true,true,false,76,true,true,Basica,-72066.0,-93214.0,10364.0,4916.0,82430.0,98130.0,84,100,10,10,5182,2458,2.0,63,20,13,4
3,121314,1866,GreedyCuadrantes,HillClimbing,true,true,true,false,77,true,true,Basica,-61702.0,-88344.0,10364.0,4868.0,82430.0,98080.0,84,100,10,10,5182,2434,4.0,60,22,14,4
3,121314,2109,GreedyCuadrantes,HillClimbing,true,true,true,false,79,true,true,Basica,-40974.0,-78644.0,10364.0,4604.0,82430.0,97060.0,84,99,10,10,5182,2302,8.0,60,21,13,5
3,121314,1889,GreedyCuadrantes,HillClimbing,true,true,true,false,70,true,true,Basica,482.0,-58184.0,10364.0,4252.0,82430.0,92200.0,84,94,10,10,5182,2126,16.0,56,22,12,4
3,121314,1686,GreedyCuadrantes,HillClimbing,true,true,true,false,62,true,true,Basica,83394.0,-25068.0,10364.0,3952.0,82430.0,88300.0,84,90,10,10,5182,1976,32.0,54,22,10,4
3,121314,1636,GreedyCuadrantes,HillClimbing,true,true,true,false,60,true,true,Basica,249218.0,37250.0,10364.0,3800.0,82430.0,84350.0,84,86,10,10,5182,1900,64.0,51,21,10,4
3,121314,1901,GreedyCuadrantes,HillClimbing,true,true,true,false,59,true,true,Basica,580866.0,157978.0,10364.0,3772.0,82430.0,83430.0,84,85,10,10,5182,1886,128.0,51,21,10,3
3,121314,1480,GreedyCuadrantes,HillClimbing,true,true,true,false,59,true,true,Basica,1285618.0,414474.0,10364.0,3772.0,82430.0,83430.0,84,85,10,10,5182,1886,264.0,51,21,10,3
4,151617,1727,GreedyCuadrantes,HillClimbing,true,true,true,false,83,true,true,Basica,-74278.0,-93168.0,9792.0,4952.0,84070.0,98120.0,86,100,10,10,4896,2476,2.0,64,20,11,5
4,151617,1554,GreedyCuadrantes,HillClimbing,true,true,true,false,71,true,true,Basica,-64486.0,-87966.0,9792.0,4952.0,84070.0,97870.0,86,100,10,10,4896,2476,4.0,61,18,13,8
4,151617,1545,GreedyCuadrantes,HillClimbing,true,true,true,false,68,true,true,Basica,-44902.0,-76838.0,9792.0,4548.0,84070.0,95030.0,86,97,10,10,4896,2274,8.0,59,19,13,6
4,151617,1741,GreedyCuadrantes,HillClimbing,true,true,true,false,71,true,true,Basica,-5734.0,-59318.0,9792.0,4224.0,84070.0,93110.0,86,95,10,10,4896,2112,16.0,59,19,11,6
4,151617,1590,GreedyCuadrantes,HillClimbing,true,true,true,false,64,true,true,Basica,72602.0,-23764.0,9792.0,4016.0,84070.0,88020.0,86,90,10,10,4896,2008,32.0,52,19,11,8
4,151617,1603,GreedyCuadrantes,HillClimbing,true,true,true,false,64,true,true,Basica,229274.0,37574.0,9792.0,3832.0,84070.0,85050.0,86,87,10,10,4896,1916,64.0,51,16,12,8
4,151617,1637,GreedyCuadrantes,HillClimbing,true,true,true,false,64,true,true,Basica,542618.0,157288.0,9792.0,3772.0,84070.0,84120.0,86,86,10,10,4896,1886,128.0,50,17,12,7
4,151617,2028,GreedyCuadrantes,HillClimbing,true,true,true,false,64,true,true,Basica,1208474.0,413784.0,9792.0,3772.0,84070.0,84120.0,86,86,10,10,4896,1886,264.0,50,17,12,7
5,181920,1710,GreedyCuadrantes,HillClimbing,true,true,true,false,86,true,true,Basica,-67052.0,-91562.0,11048.0,6348.0,78100.0,97910.0,80,100,10,10,5524,3174,2.0,55,25,14,6
5,181920,1933,GreedyCuadrantes,HillClimbing,true,true,true,false,91,true,true,Basica,-56004.0,-85392.0,11048.0,6204.0,78100.0,97800.0,80,100,10,10,5524,3102,4.0,52,26,15,7
5,181920,1722,GreedyCuadrantes,HillClimbing,true,true,true,false,74,true,true,Basica,-33908.0,-70900.0,11048.0,5700.0,78100.0,93700.0,80,96,10,10,5524,2850,8.0,48,23,16,9
5,181920,1943,GreedyCuadrantes,HillClimbing,true,true,true,false,77,true,true,Basica,10284.0,-47710.0,11048.0,4780.0,78100.0,85950.0,80,88,10,10,5524,2390,16.0,47,19,14,8
5,181920,1594,GreedyCuadrantes,HillClimbing,true,true,true,false,62,true,true,Basica,98668.0,-9330.0,11048.0,4360.0,78100.0,79090.0,80,81,10,10,5524,2180,32.0,43,16,15,7
5,181920,1572,GreedyCuadrantes,HillClimbing,true,true,true,false,61,true,true,Basica,275436.0,59628.0,11048.0,4304.0,78100.0,78100.0,80,80,10,10,5524,2152,64.0,42,16,15,7
5,181920,1586,GreedyCuadrantes,HillClimbing,true,true,true,false,61,true,true,Basica,628972.0,197356.0,11048.0,4304.0,78100.0,78100.0,80,80,10,10,5524,2152,128.0,42,16,15,7
5,181920,1675,GreedyCuadrantes,HillClimbing,true,true,true,false,61,true,true,Basica,1380236.0,490028.0,11048.0,4304.0,78100.0,78100.0,80,80,10,10,5524,2152,264.0,42,16,15,7
6,2134565223,2242,GreedyCuadrantes,HillClimbing,true,true,true,false,92,true,true,Basica,-74640.0,-93182.0,10640.0,5108.0,85280.0,98290.0,87,100,10,10,5320,2554,2.0,63,24,11,2
6,2134565223,2041,GreedyCuadrantes,HillClimbing,true,true,true,false,97,true,true,Basica,-64000.0,-88428.0,10640.0,4896.0,85280.0,98220.0,87,100,10,10,5320,2448,4.0,62,24,11,3
6,2134565223,2167,GreedyCuadrantes,HillClimbing,true,true,true,false,97,true,true,Basica,-42720.0,-78404.0,10640.0,4904.0,85280.0,98020.0,87,100,10,10,5320,2452,8.0,60,23,11,6
6,2134565223,2203,GreedyCuadrantes,HillClimbing,true,true,true,false,98,true,true,Basica,-160.0,-58548.0,10640.0,4564.0,85280.0,95060.0,87,97,10,10,5320,2282,16.0,58,22,11,6
6,2134565223,2202,GreedyCuadrantes,HillClimbing,true,true,true,false,92,true,true,Basica,84960.0,-22180.0,10640.0,4380.0,85280.0,92260.0,87,94,10,10,5320,2190,32.0,58,22,10,4
6,2134565223,2348,GreedyCuadrantes,HillClimbing,true,true,true,false,95,true,true,Basica,255200.0,43280.0,10640.0,4080.0,85280.0,87280.0,87,89,10,10,5320,2040,64.0,54,21,9,5
6,2134565223,2655,GreedyCuadrantes,HillClimbing,true,true,true,false,95,true,true,Basica,595680.0,173250.0,10640.0,4040.0,85280.0,85310.0,87,87,10,10,5320,2020,128.0,53,20,9,5
6,2134565223,2352,GreedyCuadrantes,HillClimbing,true,true,true,false,95,true,true,Basica,1319200.0,447970.0,10640.0,4040.0,85280.0,85310.0,87,87,10,10,5320,2020,264.0,53,20,9,5
7,242526,2481,GreedyCuadrantes,HillClimbing,true,true,true,false,107,true,true,Basica,-72508.0,-92722.0,10752.0,5468.0,83260.0,98190.0,85,100,10,10,5376,2734,2.0,67,17,12,4
7,242526,2399,GreedyCuadrantes,HillClimbing,true,true,true,false,104,true,true,Basica,-61756.0,-87376.0,10752.0,5312.0,83260.0,98000.0,85,100,10,10,5376,2656,4.0,62,17,16,5
7,242526,2683,GreedyCuadrantes,HillClimbing,true,true,true,false,113,true,true,Basica,-40252.0,-77792.0,10752.0,5092.0,83260.0,98160.0,85,100,10,10,5376,2546,8.0,64,18,15,3
7,242526,2294,GreedyCuadrantes,HillClimbing,true,true,true,false,91,true,true,Basica,2756.0,-53746.0,10752.0,5288.0,83260.0,96050.0,85,98,10,10,5376,2644,16.0,61,17,15,5
7,242526,2643,GreedyCuadrantes,HillClimbing,true,true,true,false,91,true,true,Basica,88772.0,-18820.0,10752.0,4400.0,83260.0,89220.0,85,91,10,10,5376,2200,32.0,58,16,12,5
7,242526,2039,GreedyCuadrantes,HillClimbing,true,true,true,false,76,true,true,Basica,260804.0,57052.0,10752.0,4416.0,83260.0,84260.0,85,86,10,10,5376,2208,64.0,54,14,13,5
7,242526,2057,GreedyCuadrantes,HillClimbing,true,true,true,false,76,true,true,Basica,604868.0,198364.0,10752.0,4416.0,83260.0,84260.0,85,86,10,10,5376,2208,128.0,54,14,13,5
