iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,maxKm
0,1234,2187,GreedyCuadrantes,HillClimbing,true,true,true,false,82,true,true,Basica,-65136.0,-92768.0,10264.0,5372.0,75400.0,98140.0,77,100,10,10,5132,2686,560
1,1,2008,GreedyCuadrantes,HillClimbing,true,true,true,false,93,true,true,Basica,-68264.0,-93516.0,10316.0,4984.0,78580.0,98500.0,80,100,10,10,5158,2492,560
2,91011,1900,GreedyCuadrantes,HillClimbing,true,true,true,false,85,true,true,Basica,-68124.0,-92006.0,10376.0,6284.0,78500.0,98290.0,80,100,10,10,5188,3142,560
3,121314,1497,GreedyCuadrantes,HillClimbing,true,true,true,false,76,true,true,Basica,-70670.0,-93364.0,9780.0,4876.0,80450.0,98240.0,82,100,10,10,4890,2438,560
4,151617,1632,GreedyCuadrantes,HillClimbing,true,true,true,false,81,true,true,Basica,-71884.0,-93252.0,9296.0,4868.0,81180.0,98120.0,83,100,10,10,4648,2434,560
5,181920,1572,GreedyCuadrantes,HillClimbing,true,true,true,false,88,true,true,Basica,-61600.0,-91612.0,9680.0,6388.0,71280.0,98000.0,73,100,10,10,4840,3194,560
6,2134565223,1771,GreedyCuadrantes,HillClimbing,true,true,true,false,88,true,true,Basica,-73342.0,-93174.0,9968.0,5216.0,83310.0,98390.0,85,100,10,10,4984,2608,560
7,242526,1946,GreedyCuadrantes,HillClimbing,true,true,true,false,96,true,true,Basica,-72660.0,-92890.0,9640.0,5260.0,82300.0,98150.0,84,100,10,10,4820,2630,560
8,669610,1989,GreedyCuadrantes,HillClimbing,true,true,true,false,86,true,true,Basica,-66322.0,-93258.0,9888.0,4932.0,76210.0,98190.0,78,100,10,10,4944,2466,560
9,303132,1754,GreedyCuadrantes,HillClimbing,true,true,true,false,77,true,true,Basica,-73920.0,-93050.0,9260.0,5080.0,83180.0,98130.0,85,100,10,10,4630,2540,560
0,1234,1705,GreedyCuadrantes,HillClimbing,true,true,true,false,78,true,true,Basica,-69082.0,-92908.0,11208.0,5272.0,80290.0,98180.0,82,100,10,10,5604,2636,640
1,1,1594,GreedyCuadrantes,HillClimbing,true,true,true,false,69,true,true,Basica,-69258.0,-93340.0,11252.0,5140.0,80510.0,98480.0,82,100,10,10,5626,2570,640
2,91011,2174,GreedyCuadrantes,HillClimbing,true,true,true,false,90,true,true,Basica,-71798.0,-92094.0,11592.0,6216.0,83390.0,98310.0,85,100,10,10,5796,3108,640
3,121314,1491,GreedyCuadrantes,HillClimbing,true,true,true,false,76,true,true,Basica,-72066.0,-93214.0,10364.0,4916.0,82430.0,98130.0,84,100,10,10,5182,2458,640
4,151617,1929,GreedyCuadrantes,HillClimbing,true,true,true,false,83,true,true,Basica,-74278.0,-93168.0,9792.0,4952.0,84070.0,98120.0,86,100,10,10,4896,2476,640
5,181920,1981,GreedyCuadrantes,HillClimbing,true,true,true,false,86,true,true,Basica,-67052.0,-91562.0,11048.0,6348.0,78100.0,97910.0,80,100,10,10,5524,3174,640
6,2134565223,2294,GreedyCuadrantes,HillClimbing,true,true,true,false,92,true,true,Basica,-74640.0,-93182.0,10640.0,5108.0,85280.0,98290.0,87,100,10,10,5320,2554,640
7,242526,2630,GreedyCuadrantes,HillClimbing,true,true,true,false,107,true,true,Basica,-72508.0,-92722.0,10752.0,5468.0,83260.0,98190.0,85,100,10,10,5376,2734,640
8,669610,2514,GreedyCuadrantes,HillClimbing,true,true,true,false,93,true,true,Basica,-69452.0,-93576.0,10628.0,4684.0,80080.0,98260.0,82,100,10,10,5314,2342,640
9,303132,1971,GreedyCuadrantes,HillClimbing,true,true,true,false,89,true,true,Basica,-71230.0,-92940.0,10020.0,5080.0,81250.0,98020.0,83,100,10,10,5010,2540,640
0,1234,2134,GreedyCuadrantes,HillClimbing,true,true,true,false,94,true,true,Basica,-68620.0,-93014.0,11660.0,5136.0,80280.0,98150.0,82,100,10,10,5830,2568,720
1,1,1745,GreedyCuadrantes,HillClimbing,true,true,true,false,75,true,true,Basica,-69154.0,-93418.0,12356.0,4992.0,81510.0,98410.0,83,100,10,10,6178,2496,720
2,91011,2258,GreedyCuadrantes,HillClimbing,true,true,true,false,90,true,true,Basica,-75352.0,-91908.0,12928.0,6272.0,88280.0,98180.0,90,100,10,10,6464,3136,720
3,121314,1464,GreedyCuadrantes,HillClimbing,true,true,true,false,72,true,true,Basica,-73336.0,-93180.0,11044.0,4980.0,84380.0,98160.0,86,100,10,10,5522,2490,720
4,151617,1948,GreedyCuadrantes,HillClimbing,true,true,true,false,84,true,true,Basica,-75354.0,-93548.0,10696.0,4592.0,86050.0,98140.0,88,100,10,10,5348,2296,720
5,181920,1574,GreedyCuadrantes,HillClimbing,true,true,true,false,80,true,true,Basica,-69728.0,-91510.0,12212.0,6380.0,81940.0,97890.0,84,100,10,10,6106,3190,720
6,2134565223,1735,GreedyCuadrantes,HillClimbing,true,true,true,false,85,true,true,Basica,-77294.0,-93234.0,10816.0,5016.0,88110.0,98250.0,90,100,10,10,5408,2508,720
7,242526,2215,GreedyCuadrantes,HillClimbing,true,true,true,false,102,true,true,Basica,-72922.0,-92914.0,11328.0,5356.0,84250.0,98270.0,86,100,10,10,5664,2678,720
8,669610,2605,GreedyCuadrantes,HillClimbing,true,true,true,false,104,true,true,Basica,-71772.0,-93616.0,11268.0,4644.0,83040.0,98260.0,85,100,10,10,5634,2322,720
9,303132,2189,GreedyCuadrantes,HillClimbing,true,true,true,false,91,true,true,Basica,-75484.0,-93184.0,10616.0,4976.0,86100.0,98160.0,88,100,10,10,5308,2488,720
