seed,iteration,initial,algorithm,timeMs,initialHeur,finalHeur,assigned,nodesExpanded
1234,1,1,1,3135.6228,-65140.0,-73836.0,80/126,74
1234,1,1,2,767.7366,-65140.0,-74388.0,80/126,20002
1234,1,2,1,3459.831,-65716.0,-75062.0,81/126,83
1234,1,2,2,710.0012,-65716.0,-75214.0,81/126,20002
1234,1,3,1,3514.9151,-67952.0,-75102.0,82/126,84
1234,1,3,2,722.5946,-67952.0,-75666.0,82/126,20002
1234,1,4,1,3297.405,-72732.0,-79506.0,87/126,78
1234,1,4,2,755.7457,-72732.0,-80184.0,87/126,20002
1234,1,5,1,3001.8583,-65140.0,-73836.0,80/126,74
1234,1,5,2,680.6576,-65140.0,-74132.0,80/126,20002
1234,2,1,1,3093.5513,-65140.0,-73836.0,80/126,74
1234,2,1,2,693.2883,-65140.0,-74210.0,80/126,20002
1234,2,2,1,3539.358,-65716.0,-75062.0,81/126,83
1234,2,2,2,690.41,-65716.0,-75146.0,81/126,20002
1234,2,3,1,3509.1209,-67952.0,-75102.0,82/126,84
1234,2,3,2,768.5478,-67952.0,-75888.0,82/126,20002
1234,2,4,1,3287.3553,-72732.0,-79506.0,87/126,78
1234,2,4,2,675.2306,-72732.0,-79834.0,87/126,20002
1234,2,5,1,2946.1822,-65140.0,-73836.0,80/126,74
1234,2,5,2,721.0812,-65140.0,-74440.0,80/126,20002
1234,3,1,1,3104.0245,-65140.0,-73836.0,80/126,74
1234,3,1,2,715.8951,-65140.0,-74202.0,80/126,20002
1234,3,2,1,3207.7363,-65716.0,-75062.0,81/126,83
1234,3,2,2,750.6521,-65716.0,-74992.0,81/126,20002
1234,3,3,1,3602.7112,-67952.0,-75102.0,82/126,84
1234,3,3,2,736.4892,-67952.0,-75344.0,82/126,20002
1234,3,4,1,3437.8986,-72732.0,-79506.0,87/126,78
1234,3,4,2,667.6594,-72732.0,-80384.0,87/126,20002
1234,3,5,1,3040.4199,-65140.0,-73836.0,80/126,74
1234,3,5,2,703.4698,-65140.0,-74380.0,80/126,20002
4321,1,1,1,4213.184,-70550.0,-79788.0,86/129,93
4321,1,1,2,746.3376,-70550.0,-79782.0,86/129,20002
4321,1,2,1,3025.0982,-60630.0,-70626.0,76/129,70
4321,1,2,2,710.4103,-60630.0,-70916.0,76/129,20002
4321,1,3,1,3450.6497,-70844.0,-78092.0,85/129,86
4321,1,3,2,768.1901,-70844.0,-78650.0,85/129,20002
4321,1,4,1,3335.4921,-63194.0,-71722.0,78/129,83
4321,1,4,2,702.2513,-63194.0,-72222.0,78/129,20002
4321,1,5,1,4144.4345,-70550.0,-79788.0,86/129,93
4321,1,5,2,730.5032,-70550.0,-79540.0,86/129,20002
4321,2,1,1,4022.5651,-70550.0,-79788.0,86/129,93
4321,2,1,2,750.6636,-70550.0,-79372.0,86/129,20002
4321,2,2,1,3032.1268,-60630.0,-70626.0,76/129,70
4321,2,2,2,724.3646,-60630.0,-70964.0,76/129,20002
4321,2,3,1,3406.4566,-70844.0,-78092.0,85/129,86
4321,2,3,2,734.941,-70844.0,-78292.0,85/129,20002
4321,2,4,1,3440.8205,-63194.0,-71722.0,78/129,83
4321,2,4,2,730.7078,-63194.0,-72032.0,78/129,20002
4321,2,5,1,4355.3835,-70550.0,-79788.0,86/129,93
4321,2,5,2,721.4838,-70550.0,-79754.0,86/129,20002
4321,3,1,1,4056.7332,-70550.0,-79788.0,86/129,93
4321,3,1,2,782.4159,-70550.0,-79524.0,86/129,20002
4321,3,2,1,3002.9036,-60630.0,-70626.0,76/129,70
4321,3,2,2,715.9575,-60630.0,-70774.0,76/129,20002
4321,3,3,1,3501.6118,-70844.0,-78092.0,85/129,86
4321,3,3,2,712.7001,-70844.0,-78766.0,85/129,20002
4321,3,4,1,3334.2973,-63194.0,-71722.0,78/129,83
4321,3,4,2,721.2227,-63194.0,-72302.0,78/129,20002
4321,3,5,1,4500.5868,-70550.0,-79788.0,86/129,93
4321,3,5,2,717.7132,-70550.0,-79504.0,86/129,20002
