seed,iteration,initial,algorithm,timeMs,initialHeur,finalHeur,assigned,nodesExpanded
1234,1,1,1,3209.1549,-65140.0,-73836.0,80/126,74
1234,1,1,2,741.7901,-65140.0,-74132.0,80/126,20002
1234,1,2,1,3543.1315,-65716.0,-75062.0,81/126,83
1234,1,2,2,719.7593,-65716.0,-75024.0,81/126,20002
1234,1,3,1,3811.96,-67952.0,-75102.0,82/126,84
1234,1,3,2,752.726,-67952.0,-75520.0,82/126,20002
1234,1,4,1,3125.5132,-72732.0,-79506.0,87/126,78
1234,1,4,2,746.2895,-72732.0,-80092.0,87/126,20002
1234,1,5,1,3009.356,-65140.0,-73836.0,80/126,74
1234,1,5,2,741.5896,-65140.0,-74282.0,80/126,20002
